date,bar_time_gmt,bar_close,w1_ema,trend_dir,asian_high,asian_low,asian_range_pips,range_ok,in_london,signal,skip_reason,entry_price,sl,tp
2023-01-02,2023-01-02 07:00:00,1.20747,1.19471,,,,,,NO,NONE,NO_ASIAN_DATA,,,
2023-01-02,2023-01-02 08:00:00,1.20747,1.19471,,,,,,NO,NONE,NO_ASIAN_DATA,,,
2023-01-02,2023-01-02 09:00:00,1.20628,1.19471,,,,,,NO,NONE,NO_ASIAN_DATA,,,
2023-01-02,2023-01-02 10:00:00,1.20454,1.19471,,,,,,NO,NONE,NO_ASIAN_DATA,,,
2023-01-02,2023-01-02 11:00:00,1.20458,1.19471,,,,,,NO,NONE,NO_ASIAN_DATA,,,
2023-01-02,2023-01-02 12:00:00,1.20524,1.19471,,,,,,NO,NONE,NO_ASIAN_DATA,,,
2023-01-02,2023-01-02 13:00:00,1.20515,1.19471,,,,,,NO,NONE,NO_ASIAN_DATA,,,
2023-01-02,2023-01-02 14:00:00,1.20514,1.19471,,,,,,NO,NONE,NO_ASIAN_DATA,,,
2023-01-02,2023-01-02 15:00:00,1.20516,1.19471,,,,,,NO,NONE,NO_ASIAN_DATA,,,
2023-01-02,2023-01-02 16:00:00,1.20519,1.19471,,,,,,NO,NONE,NO_ASIAN_DATA,,,
2023-01-02,2023-01-02 17:00:00,1.20439,1.19471,,,,,,NO,NONE,NO_ASIAN_DATA,,,
2023-01-02,2023-01-02 18:00:00,1.20475,1.19471,,,,,,NO,NONE,NO_ASIAN_DATA,,,
2023-01-02,2023-01-02 19:00:00,1.2047,1.19471,,,,,,NO,NONE,NO_ASIAN_DATA,,,
2023-01-02,2023-01-02 20:00:00,1.2046,1.19471,,,,,,NO,NONE,NO_ASIAN_DATA,,,
2023-01-02,2023-01-02 21:00:00,1.20456,1.19471,,,,,,NO,NONE,NO_ASIAN_DATA,,,
2023-01-02,2023-01-02 22:00:00,1.20472,1.19471,,,,,,NO,NONE,NO_ASIAN_DATA,,,
2023-01-02,2023-01-02 23:00:00,1.20458,1.19471,,,,,,NO,NONE,NO_ASIAN_DATA,,,
2023-01-03,2023-01-03 00:00:00,1.20451,1.19471,,,,,,NO,NONE,ASIAN_SESSION,,,
2023-01-03,2023-01-03 01:00:00,1.20622,1.19471,,,,,,NO,NONE,ASIAN_SESSION,,,
2023-01-03,2023-01-03 02:00:00,1.20537,1.19471,,,,,,NO,NONE,ASIAN_SESSION,,,
2023-01-03,2023-01-03 03:00:00,1.20508,1.19471,,,,,,NO,NONE,ASIAN_SESSION,,,
2023-01-03,2023-01-03 04:00:00,1.20785,1.19471,,,,,,NO,NONE,ASIAN_SESSION,,,
2023-01-03,2023-01-03 05:00:00,1.20737,1.19471,,,,,,NO,NONE,ASIAN_SESSION,,,
2023-01-03,2023-01-03 06:00:00,1.20725,1.19471,,,,,,NO,NONE,ASIAN_SESSION,,,
2023-01-03,2023-01-03 07:00:00,1.20693,1.19471,LONG,1.20848,1.20347,50.1,YES,YES,NONE,NO_BREAKOUT,,,
2023-01-03,2023-01-03 08:00:00,1.20629,1.19471,LONG,1.20848,1.20347,50.1,YES,YES,NONE,NO_BREAKOUT,,,
2023-01-03,2023-01-03 09:00:00,1.20284,1.19471,LONG,1.20848,1.20347,50.1,YES,YES,NONE,NO_BREAKOUT,,,
2023-01-03,2023-01-03 10:00:00,1.19123,1.19471,LONG,1.20848,1.20347,50.1,YES,NO,NONE,OUTSIDE_LONDON,,,
2023-01-03,2023-01-03 11:00:00,1.19237,1.19471,LONG,1.20848,1.20347,50.1,YES,NO,NONE,OUTSIDE_LONDON,,,
2023-01-03,2023-01-03 12:00:00,1.1909,1.19471,LONG,1.20848,1.20347,50.1,YES,NO,NONE,OUTSIDE_LONDON,,,
2023-01-03,2023-01-03 13:00:00,1.19312,1.19471,LONG,1.20848,1.20347,50.1,YES,NO,NONE,OUTSIDE_LONDON,,,
2023-01-03,2023-01-03 14:00:00,1.19558,1.19471,LONG,1.20848,1.20347,50.1,YES,NO,NONE,OUTSIDE_LONDON,,,
2023-01-03,2023-01-03 15:00:00,1.19931,1.19471,LONG,1.20848,1.20347,50.1,YES,NO,NONE,OUTSIDE_LONDON,,,
2023-01-03,2023-01-03 16:00:00,1.20299,1.19471,LONG,1.20848,1.20347,50.1,YES,NO,NONE,OUTSIDE_LONDON,,,
2023-01-03,2023-01-03 17:00:00,1.20088,1.19471,LONG,1.20848,1.20347,50.1,YES,NO,NONE,OUTSIDE_LONDON,,,
2023-01-03,2023-01-03 18:00:00,1.19686,1.19471,LONG,1.20848,1.20347,50.1,YES,NO,NONE,OUTSIDE_LONDON,,,
2023-01-03,2023-01-03 19:00:00,1.19642,1.19471,LONG,1.20848,1.20347,50.1,YES,NO,NONE,OUTSIDE_LONDON,,,
2023-01-03,2023-01-03 20:00:00,1.19792,1.19471,LONG,1.20848,1.20347,50.1,YES,NO,NONE,OUTSIDE_LONDON,,,
2023-01-03,2023-01-03 21:00:00,1.19837,1.19471,LONG,1.20848,1.20347,50.1,YES,NO,NONE,OUTSIDE_LONDON,,,
2023-01-03,2023-01-03 22:00:00,1.19727,1.19471,LONG,1.20848,1.20347,50.1,YES,NO,NONE,OUTSIDE_LONDON,,,
2023-01-03,2023-01-03 23:00:00,1.19655,1.19471,LONG,1.20848,1.20347,50.1,YES,NO,NONE,OUTSIDE_LONDON,,,
2023-01-04,2023-01-04 00:00:00,1.19625,1.19471,,,,,,NO,NONE,ASIAN_SESSION,,,
2023-01-04,2023-01-04 01:00:00,1.19656,1.19471,,,,,,NO,NONE,ASIAN_SESSION,,,
2023-01-04,2023-01-04 02:00:00,1.19898,1.19471,,,,,,NO,NONE,ASIAN_SESSION,,,
2023-01-04,2023-01-04 03:00:00,1.19938,1.19471,,,,,,NO,NONE,ASIAN_SESSION,,,
2023-01-04,2023-01-04 04:00:00,1.19845,1.19471,,,,,,NO,NONE,ASIAN_SESSION,,,
2023-01-04,2023-01-04 05:00:00,1.19888,1.19471,,,,,,NO,NONE,ASIAN_SESSION,,,
2023-01-04,2023-01-04 06:00:00,1.19915,1.19471,,,,,,NO,NONE,ASIAN_SESSION,,,
2023-01-04,2023-01-04 07:00:00,1.19846,1.19471,LONG,1.20011,1.19572,43.9,YES,YES,NONE,NO_BREAKOUT,,,
2023-01-04,2023-01-04 08:00:00,1.19862,1.19471,LONG,1.20011,1.19572,43.9,YES,YES,NONE,NO_BREAKOUT,,,
2023-01-04,2023-01-04 09:00:00,1.20268,1.19471,LONG,1.20011,1.19572,43.9,YES,YES,LONG,,1.20011,1.19572,1.2067
2023-01-04,2023-01-04 10:00:00,1.20445,1.19471,LONG,1.20011,1.19572,43.9,YES,NO,NONE,OUTSIDE_LONDON,,,
2023-01-04,2023-01-04 11:00:00,1.20601,1.19471,LONG,1.20011,1.19572,43.9,YES,NO,NONE,OUTSIDE_LONDON,,,
2023-01-04,2023-01-04 12:00:00,1.20673,1.19471,LONG,1.20011,1.19572,43.9,YES,NO,NONE,OUTSIDE_LONDON,,,
2023-01-04,2023-01-04 13:00:00,1.20545,1.19471,LONG,1.20011,1.19572,43.9,YES,NO,NONE,OUTSIDE_LONDON,,,
2023-01-04,2023-01-04 14:00:00,1.20486,1.19471,LONG,1.20011,1.19572,43.9,YES,NO,NONE,OUTSIDE_LONDON,,,
2023-01-04,2023-01-04 15:00:00,1.20563,1.19471,LONG,1.20011,1.19572,43.9,YES,NO,NONE,OUTSIDE_LONDON,,,
2023-01-04,2023-01-04 16:00:00,1.20688,1.19471,LONG,1.20011,1.19572,43.9,YES,NO,NONE,OUTSIDE_LONDON,,,
2023-01-04,2023-01-04 17:00:00,1.20449,1.19471,LONG,1.20011,1.19572,43.9,YES,NO,NONE,OUTSIDE_LONDON,,,
2023-01-04,2023-01-04 18:00:00,1.206,1.19471,LONG,1.20011,1.19572,43.9,YES,NO,NONE,OUTSIDE_LONDON,,,
2023-01-04,2023-01-04 19:00:00,1.20659,1.19471,LONG,1.20011,1.19572,43.9,YES,NO,NONE,OUTSIDE_LONDON,,,
2023-01-04,2023-01-04 20:00:00,1.20656,1.19471,LONG,1.20011,1.19572,43.9,YES,NO,NONE,OUTSIDE_LONDON,,,
2023-01-04,2023-01-04 21:00:00,1.2059,1.19471,LONG,1.20011,1.19572,43.9,YES,NO,NONE,OUTSIDE_LONDON,,,
2023-01-04,2023-01-04 22:00:00,1.20586,1.19471,LONG,1.20011,1.19572,43.9,YES,NO,NONE,OUTSIDE_LONDON,,,
2023-01-04,2023-01-04 23:00:00,1.20532,1.19471,LONG,1.20011,1.19572,43.9,YES,NO,NONE,OUTSIDE_LONDON,,,
2023-01-05,2023-01-05 00:00:00,1.20576,1.19471,,,,,,NO,NONE,ASIAN_SESSION,,,
2023-01-05,2023-01-05 01:00:00,1.2056,1.19471,,,,,,NO,NONE,ASIAN_SESSION,,,
2023-01-05,2023-01-05 02:00:00,1.2073,1.19471,,,,,,NO,NONE,ASIAN_SESSION,,,
2023-01-05,2023-01-05 03:00:00,1.2063,1.19471,,,,,,NO,NONE,ASIAN_SESSION,,,
2023-01-05,2023-01-05 04:00:00,1.20479,1.19471,,,,,,NO,NONE,ASIAN_SESSION,,,
2023-01-05,2023-01-05 05:00:00,1.20363,1.19471,,,,,,NO,NONE,ASIAN_SESSION,,,
2023-01-05,2023-01-05 06:00:00,1.20379,1.19471,,,,,,NO,NONE,ASIAN_SESSION,,,
2023-01-05,2023-01-05 07:00:00,1.20373,1.19471,LONG,1.20778,1.20321,45.7,YES,YES,NONE,NO_BREAKOUT,,,
2023-01-05,2023-01-05 08:00:00,1.20236,1.19471,LONG,1.20778,1.20321,45.7,YES,YES,NONE,NO_BREAKOUT,,,
2023-01-05,2023-01-05 09:00:00,1.20075,1.19471,LONG,1.20778,1.20321,45.7,YES,YES,NONE,NO_BREAKOUT,,,
2023-01-05,2023-01-05 10:00:00,1.20203,1.19471,LONG,1.20778,1.20321,45.7,YES,NO,NONE,OUTSIDE_LONDON,,,
2023-01-05,2023-01-05 11:00:00,1.20304,1.19471,LONG,1.20778,1.20321,45.7,YES,NO,NONE,OUTSIDE_LONDON,,,
2023-01-05,2023-01-05 12:00:00,1.20253,1.19471,LONG,1.20778,1.20321,45.7,YES,NO,NONE,OUTSIDE_LONDON,,,
2023-01-05,2023-01-05 13:00:00,1.20224,1.19471,LONG,1.20778,1.20321,45.7,YES,NO,NONE,OUTSIDE_LONDON,,,
2023-01-05,2023-01-05 14:00:00,1.20018,1.19471,LONG,1.20778,1.20321,45.7,YES,NO,NONE,OUTSIDE_LONDON,,,
2023-01-05,2023-01-05 15:00:00,1.19199,1.19471,LONG,1.20778,1.20321,45.7,YES,NO,NONE,OUTSIDE_LONDON,,,
2023-01-05,2023-01-05 16:00:00,1.19073,1.19471,LONG,1.20778,1.20321,45.7,YES,NO,NONE,OUTSIDE_LONDON,,,
2023-01-05,2023-01-05 17:00:00,1.18808,1.19471,LONG,1.20778,1.20321,45.7,YES,NO,NONE,OUTSIDE_LONDON,,,
2023-01-05,2023-01-05 18:00:00,1.19006,1.19471,LONG,1.20778,1.20321,45.7,YES,NO,NONE,OUTSIDE_LONDON,,,
2023-01-05,2023-01-05 19:00:00,1.19073,1.19471,LONG,1.20778,1.20321,45.7,YES,NO,NONE,OUTSIDE_LONDON,,,
2023-01-05,2023-01-05 20:00:00,1.19291,1.19471,LONG,1.20778,1.20321,45.7,YES,NO,NONE,OUTSIDE_LONDON,,,
2023-01-05,2023-01-05 21:00:00,1.19174,1.19471,LONG,1.20778,1.20321,45.7,YES,NO,NONE,OUTSIDE_LONDON,,,
2023-01-05,2023-01-05 22:00:00,1.19095,1.19471,LONG,1.20778,1.20321,45.7,YES,NO,NONE,OUTSIDE_LONDON,,,
2023-01-05,2023-01-05 23:00:00,1.19128,1.19471,LONG,1.20778,1.20321,45.7,YES,NO,NONE,OUTSIDE_LONDON,,,
2023-01-06,2023-01-06 00:00:00,1.19069,1.19471,,,,,,NO,NONE,ASIAN_SESSION,,,
2023-01-06,2023-01-06 01:00:00,1.19087,1.19471,,,,,,NO,NONE,ASIAN_SESSION,,,
2023-01-06,2023-01-06 02:00:00,1.1924,1.19471,,,,,,NO,NONE,ASIAN_SESSION,,,
2023-01-06,2023-01-06 03:00:00,1.19185,1.19471,,,,,,NO,NONE,ASIAN_SESSION,,,
2023-01-06,2023-01-06 04:00:00,1.19248,1.19471,,,,,,NO,NONE,ASIAN_SESSION,,,
2023-01-06,2023-01-06 05:00:00,1.19284,1.19471,,,,,,NO,NONE,ASIAN_SESSION,,,
2023-01-06,2023-01-06 06:00:00,1.19231,1.19471,,,,,,NO,NONE,ASIAN_SESSION,,,
2023-01-06,2023-01-06 07:00:00,1.19039,1.19471,LONG,1.19354,1.18795,55.9,YES,YES,NONE,NO_BREAKOUT,,,
2023-01-06,2023-01-06 08:00:00,1.19067,1.19471,LONG,1.19354,1.18795,55.9,YES,YES,NONE,NO_BREAKOUT,,,
2023-01-06,2023-01-06 09:00:00,1.18908,1.19471,LONG,1.19354,1.18795,55.9,YES,YES,NONE,NO_BREAKOUT,,,
2023-01-06,2023-01-06 10:00:00,1.18864,1.19471,LONG,1.19354,1.18795,55.9,YES,NO,NONE,OUTSIDE_LONDON,,,
2023-01-06,2023-01-06 11:00:00,1.18582,1.19471,LONG,1.19354,1.18795,55.9,YES,NO,NONE,OUTSIDE_LONDON,,,
2023-01-06,2023-01-06 12:00:00,1.18551,1.19471,LONG,1.19354,1.18795,55.9,YES,NO,NONE,OUTSIDE_LONDON,,,
2023-01-06,2023-01-06 13:00:00,1.18472,1.19471,LONG,1.19354,1.18795,55.9,YES,NO,NONE,OUTSIDE_LONDON,,,
2023-01-06,2023-01-06 14:00:00,1.18591,1.19471,LONG,1.19354,1.18795,55.9,YES,NO,NONE,OUTSIDE_LONDON,,,
2023-01-06,2023-01-06 15:00:00,1.19262,1.19471,LONG,1.19354,1.18795,55.9,YES,NO,NONE,OUTSIDE_LONDON,,,
2023-01-06,2023-01-06 16:00:00,1.18992,1.19471,LONG,1.19354,1.18795,55.9,YES,NO,NONE,OUTSIDE_LONDON,,,
2023-01-06,2023-01-06 17:00:00,1.20463,1.19471,LONG,1.19354,1.18795,55.9,YES,NO,NONE,OUTSIDE_LONDON,,,
2023-01-06,2023-01-06 18:00:00,1.20628,1.19471,LONG,1.19354,1.18795,55.9,YES,NO,NONE,OUTSIDE_LONDON,,,
